order,seasonal_order,MAPE,RMSE,MAPA (%)
"(0, 2, 2)","(1, 1, 0, 12)",0.0039,90264734.52,99.61
"(0, 2, 2)","(1, 1, 1, 12)",0.0046,107043658.17,99.54
"(1, 0, 0)","(0, 0, 0, 12)",0.0214,416453760.66,97.86
"(1, 0, 0)","(0, 0, 1, 12)",0.0167,406703303.95,98.33
"(1, 0, 0)","(0, 1, 0, 12)",0.0043,99559894.8,99.57
"(1, 0, 0)","(0, 1, 1, 12)",0.0043,98902250.25,99.57
"(1, 0, 0)","(1, 0, 0, 12)",0.0044,100635411.48,99.56
"(1, 0, 0)","(1, 0, 1, 12)",0.0044,101441787.1,99.56
"(1, 0, 0)","(1, 1, 0, 12)",0.004,96099048.68,99.6
"(1, 0, 0)","(1, 1, 1, 12)",0.004,96195053.84,99.6
"(1, 0, 1)","(0, 0, 0, 12)",0.0299,528934879.66,97.01
"(1, 0, 1)","(0, 0, 1, 12)",0.0197,362723450.48,98.03
"(1, 0, 1)","(0, 1, 0, 12)",0.0043,99593318.86,99.57
"(1, 0, 1)","(0, 1, 1, 12)",0.0043,98577836.77,99.57
"(1, 0, 1)","(1, 0, 0, 12)",0.0044,101204008.16,99.56
"(1, 0, 1)","(1, 0, 1, 12)",0.0044,101421799.47,99.56
"(1, 0, 1)","(1, 1, 0, 12)",0.0039,95142131.13,99.61
"(1, 0, 1)","(1, 1, 1, 12)",0.004,96084150.32,99.6
"(1, 0, 2)","(0, 0, 0, 12)",0.0227,405446107.14,97.73
"(1, 0, 2)","(0, 0, 1, 12)",0.0192,353408741.26,98.08
"(1, 0, 2)","(0, 1, 0, 12)",0.0044,99602450.08,99.56
"(1, 0, 2)","(0, 1, 1, 12)",0.0043,98512955.34,99.57
"(1, 0, 2)","(1, 0, 0, 12)",0.0044,101067429.02,99.56
"(1, 0, 2)","(1, 0, 1, 12)",0.0044,101434194.65,99.56
"(1, 0, 2)","(1, 1, 0, 12)",0.004,96001703.03,99.6
"(1, 0, 2)","(1, 1, 1, 12)",0.0041,97259322.83,99.59
"(1, 1, 0)","(0, 0, 0, 12)",0.0218,404147022.25,97.82
"(1, 1, 0)","(0, 0, 1, 12)",0.0189,347742888.89,98.11
"(1, 1, 0)","(0, 1, 0, 12)",0.0053,118538052.68,99.47
